SEO_ID,PERMNO,filing_dt,Issuer_Borrower_Name_Full,SDC_Deal_Number,Gross_Proceeds,utility_flag,financial_flag,realestate_flag,sample_version
1802,15482,15AUG2016,Univar Inc,2995439002,397931079,0,0,0,2
568,13798,24JAN2014,Oramed Pharmaceuticals Inc,2760860002,5357145,0,0,0,2
9971,19635,09NOV2021,Harmony Biosciences Holdings Inc,4307136002,248000000,0,0,0,2
5632,19408,08SEP2020,Vroom Inc,3632110002,588600000,0,1,0,2
5872,19575,10NOV2020,BigCommerce Holdings Inc,3658882002,340000000,0,0,0,2
10385,19995,12MAR2025,Tarsus Pharmaceuticals Inc,4369122002,124999966,0,0,0,2
3171,86136,02JAN2018,Sempra Energy Inc,3199365002,2500000002,1,0,0,2
10660,93371,09MAY2024,CorMedix Inc,4422313002,85000005.09,0,0,0,2
2505,14044,17APR2017,Agios Pharmaceuticals Inc,3094083002,249999997.5,0,0,0,2
3289,16119,14FEB2018,Atkore International Group Inc,3213817002,129000000,0,0,0,2
5951,16064,30NOV2020,Intellia Therapeutics Inc,3666538002,175000016.5,0,0,0,2
2578,13739,10MAY2017,Bright Horizons Family Solutions Inc,3102406002,329925000,0,0,0,2
10404,24109,24MAR2025,American Electric Power Co Inc,4375492002,2000000088,1,0,0,2
10541,84761,20MAY2025,Take-Two Interactive Software Inc,4399588002,1068750000,0,0,0,2
993,92775,02NOV2015,LendingTree Inc,2817922002,97750000,0,1,0,2
11931,14535,24MAR2025,Neurogene Inc,4946465002,105000000,0,0,0,2
5138,82670,05SEP2019,TG Therapeutics Inc,3575479002,153000000,0,0,0,2
5386,19201,06JUL2020,Revolution Medicines Inc,3598660002,156000000,0,0,0,2
2045,88648,14NOV2016,TTM Technologies Inc,3036254002,138000000,0,0,0,2
6450,88462,10FEB2021,Cassava Sciences Inc,3698168002,200000017,0,0,0,2
6520,19081,16FEB2021,SiTime Corp,3699121002,381000000,0,0,0,2
216,13904,18JUN2014,Voya Financial Inc,2729366002,1424805450,0,1,0,2
9034,22199,06NOV2023,Vita Coco Co Inc,4153974002,110440000,0,0,0,2
6243,15198,20JAN2021,Invitae Corp,3689447002,399999985,0,0,0,2
9088,21589,28NOV2023,Verve Therapeutics Inc,4162880002,125000000,0,0,0,2
155,89452,28AUG2014,Quantum Fuel Systems Technologies Worldwide Inc,2724360002,10000000,0,0,0,2
6351,19197,01FEB2021,CuriosityStream Inc,3693458002,113165000,0,0,0,2
5587,18098,26AUG2020,AudioEye Inc,3626880002,138919000,0,0,0,2
11142,18664,12NOV2025,NextCure Inc,4486176012,6035806.56,0,0,0,2
266,13830,09MAR2015,West Corp,2731155002,338250000,0,0,0,2
7377,91041,14SEP2021,Live Nation Entertainment Inc,3799387002,455291607.1,0,0,0,2
8581,18212,04MAY2023,SI-Bone Inc,4075040002,83050000,0,0,0,2
5565,18579,19AUG2020,Avantor Inc,3624048002,555555540,0,0,0,2
198,14516,13FEB2015,Q2 Holdings Inc,2725115002,101166471.75,0,0,0,2
9461,18406,12MAR2021,INmune Bio Inc,4225836002,4755645.44,0,0,0,2
10904,14556,10SEP2025,Energous Corp,4455419002,950400,0,0,0,2
6854,18425,13APR2021,Bally's Corp,3727878002,605000000,0,0,0,2
1187,15401,01SEP2015,Baxalta Inc,2796813002,1484135080,0,0,0,2
9570,88351,19MAY2023,Insmed Inc,4240382002,649999988.5,0,0,0,2
2821,15466,09AUG2017,Milacron Holdings Corp,3137171002,157950000,0,0,0,2
249,13940,01OCT2014,Portola Pharmaceuticals Inc,2731146002,99826080,0,0,0,2
5128,18912,11MAY2020,Ping Identity Holding Corp,3573286002,204000000,0,0,0,2
3144,67360,11DEC2017,Unitil Corp,3189514002,28980000,1,0,0,2
8143,18656,14SEP2022,IDEAYA Biosciences Inc,3974606002,80000004,0,0,0,2
8730,22596,20JUN2023,Drilling Tools International Corp,4121509002,25859999.6,0,0,0,2
5207,18408,01JUN2020,Kaleido Biosciences Inc,3582351002,35625000,0,0,0,2
11017,25051,07OCT2025,Nano Nuclear Energy Inc,4473951012,400000033.37,0,0,0,2
8716,12781,13JUN2023,Spire Inc,4093458002,112000045.8,1,0,0,2
4997,12413,03MAR2020,Zogenix Inc,3521629002,200220000,0,0,0,2
8847,90353,07AUG2023,Beacon Roofing Supply Inc,4117005002,418250000,0,0,0,2
2882,15724,13SEP2017,Performance Food Group Co,3150468002,142000000,0,0,0,2
5965,19605,30NOV2020,Oak Street Health Inc,3666692002,259091780,0,0,0,2
3576,13911,12JUN2018,IQVIA Holdings Inc,3255705002,1242000000,0,0,0,2
10525,23978,13MAY2025,Savers Value Village Inc,4396823002,138750000,0,0,0,2
438,14131,21OCT2014,ClubCorp Holdings Inc,2749054002,249000000,0,0,0,2
6497,76928,11FEB2021,Sanara MedTech Inc,3697657002,27500000,0,0,0,2
4417,16928,24JUN2019,Krystal Biotech Inc,3420485002,100000000,0,0,0,2
1195,11292,27OCT2015,ImmuCell Corp,2913355002,5900002.5,0,0,0,2
4232,88195,03APR2019,Sangamo Therapeutics Inc,3377265002,126500000,0,0,0,2
2419,14810,21DEC2016,Investar Holding Corp,3082578002,30000006.25,0,1,0,2
